Date,Value
2017-02-09,22.87
2017-02-10,22.4
2017-02-11,22.2
2017-02-12,22.63
2017-02-13,23.21
2017-02-14,22.82
2017-02-15,31.92
2017-02-16,22.6
2017-02-17,22.53
2017-02-18,23.06
2017-02-19,22.39
2017-02-20,22.47
2017-02-21,22.57
2017-02-22,22.84
2017-02-23,22.74
2017-02-24,22.76
2017-02-25,22.58
2017-02-26,22.77
2017-02-27,23.19
2017-02-28,23.58
2017-03-01,27.4
2017-03-02,23.61
2017-03-03,23.01
2017-03-04,22.75
2017-03-05,22.46
2017-03-06,22.68
2017-03-07,22.44
2017-03-08,22.72
2017-03-09,22.46
2017-03-10,25.72
2017-03-11,22.82
2017-03-12,22.94
2017-03-13,23.5
2017-03-14,22.96
2017-03-15,22.88
2017-03-16,23.32
2017-03-17,27.33
2017-03-18,22.59
2017-03-19,22.68
2017-03-20,22.49
2017-03-21,22.4
2017-03-22,22.75
2017-03-23,22.54
2017-03-24,27.44
2017-03-25,23.01
2017-03-26,22.25
2017-03-27,22.25
2017-03-28,22.25
2017-03-29,22.26
2017-03-30,22.34
2017-03-31,22.42
2017-04-01,22.15
2017-04-02,22.18
2017-04-03,22.18
2017-04-04,22.34
2017-04-05,22.44
2017-04-06,22.78
2017-04-07,22.13
2017-04-08,22.13
2017-04-09,21.96
2017-04-10,22.33
2017-04-11,22.01
2017-04-12,23.07
2017-04-13,22.31
2017-04-14,22.26
2017-04-15,22.24
2017-04-16,22.1
2017-04-17,22.26
2017-04-18,22.75
2017-04-19,22.63
2017-04-20,22.48
2017-04-21,22.82
2017-04-22,22.63
2017-04-23,21.9
2017-04-24,22.99
2017-04-25,21.73
2017-04-26,22.05
2017-04-27,22.38
2017-04-28,22.13
2017-04-29,22.8
2017-04-30,22.54
2017-05-01,22.99
2017-05-02,22.98
2017-05-03,22.18
2017-05-04,22.52
2017-05-05,22.91
2017-05-06,22.25
2017-05-07,22.86
2017-05-08,22.3
2017-05-09,22.42
2017-05-10,22.14
2017-05-11,22.28
2017-05-12,22.22
2017-05-13,22.18
2017-05-14,22.05
2017-05-15,22.23
2017-05-16,22.34
2017-05-17,26.66
2017-05-18,22.64
2017-05-19,22.51
2017-05-20,22.58
2017-05-21,22.37
2017-05-22,22.95
2017-05-23,22.88
2017-05-24,23.51
2017-05-25,22.63
2017-05-26,22.77
2017-05-27,22.31
2017-05-28,21.92
2017-05-29,22.43
2017-05-30,24.76
2017-05-31,38.21
2017-06-01,23.81
2017-06-02,22.91
2017-06-03,22.68
2017-06-04,23.51
2017-06-05,22.89
2017-06-06,23.54
2017-06-07,23.56
2017-06-08,23.57
2017-06-09,22.52
2017-06-10,22.42
2017-06-11,23.84
2017-06-12,30.39
2017-06-13,24.9
2017-06-14,22.81
2017-06-15,23.41
2017-06-16,22.08
2017-06-17,20.94
2017-06-18,19.78
2017-06-19,21.05
2017-06-20,35.61
2017-06-21,58.26
2017-06-22,41.15
2017-06-23,40.96
2017-06-24,47.31
2017-06-25,34.52
2017-06-26,49.58
2017-06-27,31.58
2017-06-28,43.48
2017-06-29,35.02
2017-06-30,27.22
2017-07-01,26.69
2017-07-02,25.58
2017-07-03,28.12
2017-07-04,24.66
2017-07-05,26.13
2017-07-06,24.84
2017-07-07,27.02
2017-07-08,26.09
2017-07-09,26.86
2017-07-10,22.84
2017-07-11,24.58
2017-07-12,24.3
2017-07-13,23.63
2017-07-14,23.12
2017-07-15,26.64
2017-07-16,24.23
2017-07-17,25.01
2017-07-18,26.92
2017-07-19,25.86
2017-07-20,23.79
2017-07-21,34.12
2017-07-22,24.73
2017-07-23,24.41
2017-07-24,24.99
2017-07-25,26.7
2017-07-26,26.64
2017-07-27,25.76
2017-07-28,25.16
2017-07-29,24.07
2017-07-30,23.91
2017-07-31,22.31
2017-08-01,25.46
2017-08-02,25.15
2017-08-03,24.88
2017-08-04,22.63
2017-08-05,23.98
2017-08-06,24.29
2017-08-07,25.19
2017-08-08,23.84
2017-08-09,24.06
2017-08-10,24.24
2017-08-11,25.06
2017-08-12,24.8
2017-08-13,22.05
2017-08-14,22.12
2017-08-15,21.73
2017-08-16,34.72
2017-08-17,29.04
2017-08-18,44.65
2017-08-19,25.85
2017-08-20,22.97
2017-08-21,23.06
2017-08-22,23.42
2017-08-23,23.26
2017-08-24,24.49
2017-08-25,25.31
2017-08-26,22.82
2017-08-27,22.15
2017-08-28,23.02
2017-08-29,26.06
2017-08-30,25.92
2017-08-31,36.2
2017-09-01,29.04
2017-09-02,62.68
2017-09-03,24.63
2017-09-04,27.79
2017-09-05,30.14
2017-09-06,36.52
2017-09-07,36.15
2017-09-08,42.28
2017-09-09,29.94
2017-09-10,36.14
2017-09-11,26.44
2017-09-12,28.43
2017-09-13,27.12
2017-09-14,28.37
2017-09-15,35.53
2017-09-16,35.28
2017-09-17,32.85
2017-09-18,27.53
2017-09-19,28.24
2017-09-20,30.1
2017-09-21,23.98
2017-09-22,24.38
2017-09-23,23.56
2017-09-24,28.23
2017-09-25,25.55
2017-09-26,24.57
2017-09-27,26.55
2017-09-28,25.41
2017-09-29,23.18
2017-09-30,26.23
2017-10-01,24.19
2017-10-02,25.38
2017-10-03,23.88
2017-10-04,23.69
2017-10-05,24.3
2017-10-06,25.76
2017-10-07,22.71
2017-10-08,24.09
2017-10-09,24.17
2017-10-10,25.06
2017-10-11,30.04
2017-10-12,24.51
2017-10-13,26.49
2017-10-14,24.2
2017-10-15,23.51
2017-10-16,16.68
2017-10-17,14.19
2017-10-18,14.08
2017-10-19,12.24
2017-10-20,14.61
2017-10-21,12.13
2017-10-22,10.75
2017-10-23,13.78
2017-10-24,14.42
2017-10-25,12.72
2017-10-26,12.39
2017-10-27,11.55
2017-10-28,10.49
2017-10-29,10.37
2017-10-30,11.81
2017-10-31,13.69
2017-11-01,14.98
2017-11-02,15.92
2017-11-03,12.78
2017-11-04,11.62
2017-11-05,10.7
2017-11-06,10.43
2017-11-07,13.39
2017-11-08,16.15
