,ds,yhat,yhat_lower,yhat_upper,y,cutoff
513,2022-09-18,45.425659097040686,-15.548857757666713,107.49786422551065,11.78,2022-09-17
514,2022-09-19,51.03978176806178,-9.631588927343083,114.42786971040519,14.41,2022-09-18
515,2022-09-20,50.59351878290796,-11.780949533200323,111.6697687201911,15.55,2022-09-19
516,2022-09-21,52.371385686779746,-9.242978156471882,110.06174636876355,18.64,2022-09-20
517,2022-09-22,53.43840830448277,-4.101019468797498,111.10467428088755,14.2,2022-09-21
518,2022-09-23,46.966900866376484,-14.251661467555936,112.17604654907903,13.06,2022-09-22
519,2022-09-24,39.89823151622496,-16.296420409730867,99.14599637695402,9.076,2022-09-23
520,2022-09-25,37.089031045065354,-21.240315336286056,96.54888428428212,10.96,2022-09-24
521,2022-09-26,42.6060605057006,-16.895240583099245,97.68110475846076,16.54,2022-09-25
522,2022-09-27,42.04797822114574,-14.62757117269027,103.98145353261184,22.61,2022-09-26
523,2022-09-28,42.633472545351445,-16.688249074078808,101.10402366478853,19.76,2022-09-27
524,2022-09-29,43.58105854495069,-15.611731192282248,104.23387516250745,18.79,2022-09-28
525,2022-09-30,36.913783146962466,-23.211171203666424,92.18259750305575,18.85,2022-09-29
526,2022-10-01,30.75923904566773,-26.229518698875687,87.5462059437928,11.42,2022-09-30
527,2022-10-02,27.430457557878015,-26.65114319952658,86.57218738718475,8.483,2022-10-01
528,2022-10-03,32.48422824364949,-26.704458118631692,93.05704917407363,17.72,2022-10-02
529,2022-10-04,32.8080795441128,-24.64980886116955,95.87624945144884,17.62,2022-10-03
530,2022-10-05,34.64965730244893,-24.11932021971425,92.47032778147758,20.51,2022-10-04
531,2022-10-06,36.23423399941942,-20.60513096906289,92.99338034874003,15.62,2022-10-05
532,2022-10-07,31.62042490703939,-23.70029816774085,90.79041041669383,13.49,2022-10-06
533,2022-10-08,22.77493575593367,-34.85239832483426,81.34511903150837,20.62,2022-10-07
534,2022-10-09,22.194622546361188,-39.569619741861345,77.7460832167795,31.29,2022-10-08
535,2022-10-10,29.2025438035894,-30.391741238078232,86.13930851792554,37.58,2022-10-09
536,2022-10-11,28.74609397334103,-27.79770322222924,88.0685970366089,29.33,2022-10-10
537,2022-10-12,31.439558883603155,-28.52764674230975,91.74924928646494,22.28,2022-10-11
538,2022-10-13,34.008730067277064,-26.530705276846817,93.30523130457203,27.49,2022-10-12
539,2022-10-14,29.532263091921532,-31.815852814777987,91.05370656612764,20.98,2022-10-13
